Experiment ID,Model,Method,Set Type,Relax Factor,Both Exist,n2v Success,NNV Success,Max LB Diff,Max UB Diff,Bounds Equiv,Robustness Match,Num Sets Match,n2v Time,NNV Time,n2v Looser LB,n2v Looser UB
1,fc_mnist,exact,star,,True,True,True,2.46e-06,2.40e-06,False,True,True,0.6430,1.3019,1,2
2,fc_mnist,approx,star,,True,True,True,2.10e-03,1.35e-03,False,True,True,0.0925,0.2163,8,8
3,fc_mnist,relax-star-area,star,0.25,True,True,True,2.03e-06,1.99e-06,False,True,True,0.4072,0.1551,2,3
4,fc_mnist,relax-star-area,star,0.5,True,True,True,2.03e-06,1.98e-06,False,True,True,0.2158,0.1178,2,3
5,fc_mnist,relax-star-area,star,0.75,True,True,True,6.23e-04,4.69e-04,False,True,True,0.0739,0.1123,5,7
6,fc_mnist,relax-star-range,star,0.25,True,True,True,2.03e-06,1.99e-06,False,True,True,0.4088,0.1403,2,3
7,fc_mnist,relax-star-range,star,0.5,True,True,True,2.06e-06,1.99e-06,False,True,True,0.2123,0.0829,2,3
8,fc_mnist,relax-star-range,star,0.75,True,True,True,2.10e-03,1.18e-03,False,True,True,0.0910,0.0674,6,6
9,fc_mnist_small,exact,star,,True,True,True,2.27e-06,2.56e-06,False,True,True,0.1362,0.0595,1,2
10,fc_mnist_small,approx,star,,True,True,True,2.56e-06,2.56e-06,False,True,True,0.0594,0.0526,1,3
11,cnn_conv_relu,exact,imagestar,,False,False,False,inf,inf,False,False,False,0.0000,0.0000,0,0
12,cnn_conv_relu,approx,imagestar,,True,True,True,1.03e-06,1.15e-06,False,True,True,2.6271,4.2338,0,2
13,cnn_conv_relu,relax-star-area,imagestar,0.25,True,True,True,1.03e-06,1.14e-06,False,True,True,13.5890,3.2290,0,2
14,cnn_conv_relu,relax-star-area,imagestar,0.5,True,True,True,1.03e-06,1.14e-06,False,True,True,9.1796,2.1162,0,2
15,cnn_conv_relu,relax-star-area,imagestar,0.75,True,True,True,1.03e-06,1.14e-06,False,True,True,4.7450,1.0805,0,2
16,cnn_conv_relu,relax-star-range,imagestar,0.25,True,True,True,1.03e-06,1.14e-06,False,True,True,13.5261,3.1427,0,2
17,cnn_conv_relu,relax-star-range,imagestar,0.5,True,True,True,1.03e-06,1.14e-06,False,True,True,9.1661,2.0816,0,2
18,cnn_conv_relu,relax-star-range,imagestar,0.75,True,True,True,1.03e-06,1.14e-06,False,True,True,4.8536,1.0552,0,2
19,cnn_avgpool,exact,imagestar,,False,False,False,inf,inf,False,False,False,0.0000,0.0000,0,0
20,cnn_avgpool,approx,imagestar,,True,True,True,6.97e-06,6.42e-06,False,True,True,1.7546,0.1385,3,2
21,cnn_avgpool,relax-star-area,imagestar,0.25,True,True,True,6.97e-06,6.42e-06,False,True,True,1.8046,0.1047,3,2
22,cnn_avgpool,relax-star-area,imagestar,0.5,True,True,True,6.97e-06,6.42e-06,False,True,True,1.6879,0.1055,3,2
23,cnn_avgpool,relax-star-area,imagestar,0.75,True,True,True,6.97e-06,6.42e-06,False,True,True,1.7116,0.0818,3,2
24,cnn_avgpool,relax-star-range,imagestar,0.25,True,True,True,6.97e-06,6.42e-06,False,True,True,1.7926,0.1097,3,2
25,cnn_avgpool,relax-star-range,imagestar,0.5,True,True,True,6.97e-06,6.42e-06,False,True,True,1.6982,0.1032,3,2
26,cnn_avgpool,relax-star-range,imagestar,0.75,True,True,True,6.97e-06,6.42e-06,False,True,True,1.6955,0.0803,3,2
27,cnn_maxpool,exact,imagestar,,False,False,False,inf,inf,False,False,False,0.0000,0.0000,0,0
28,cnn_maxpool,approx,imagestar,,True,True,True,6.60e-01,3.96e-01,False,True,True,3.4964,17.3396,10,9
29,cnn_maxpool,relax-star-area,imagestar,0.25,True,True,True,1.11e-01,6.53e-02,False,True,True,6.1914,17.2067,9,7
30,cnn_maxpool,relax-star-area,imagestar,0.5,True,True,True,6.84e-02,3.98e-02,False,True,True,5.4314,16.9993,10,9
31,cnn_maxpool,relax-star-area,imagestar,0.75,True,True,True,8.29e-02,5.07e-02,False,True,True,4.6266,16.7833,10,9
32,cnn_maxpool,relax-star-range,imagestar,0.25,True,True,True,1.92e-01,1.02e-01,False,True,True,6.2159,17.1796,9,8
33,cnn_maxpool,relax-star-range,imagestar,0.5,True,True,True,6.41e-02,4.57e-02,False,True,True,5.4059,16.5633,10,9
34,cnn_maxpool,relax-star-range,imagestar,0.75,True,True,True,9.91e-02,5.86e-02,False,True,True,4.3523,16.4492,9,9
35,toy_fc_4_3_2,approx,zono,,True,True,False,5.67e-01,4.72e-01,False,True,False,0.0005,0.0068,2,0
36,toy_fc_4_3_2,approx,box,,True,True,True,3.43e-02,3.59e-02,False,True,True,0.0010,0.0566,2,2
37,toy_fc_8_4_2,approx,zono,,True,True,False,2.02e-01,3.44e-01,False,True,False,0.0004,0.0013,0,2
38,toy_fc_8_4_2,approx,box,,True,True,True,3.39e-02,3.62e-02,False,True,True,0.0008,0.0288,2,2
